id,average_bifurcation_angle_local,average_contraction,average_fragmentation,average_parent_daughter_ratio,max_branch_order,max_euclidean_distance,max_path_distance,number_bifurcations,number_branches,number_nodes,number_stems,number_tips
491119743,82.7277811,0.864267433,20.72307692,0.96451032,6,99.77972418,126.5937902,33,73,1470,7,40
546781359,82.50668049,0.903889966,105.2777778,0.862182695,3,432.3831096,496.8319943,9,23,2011,5,14
537042261,77.53667807,0.863104126,73.66666667,0.92663293,6,373.6304442,436.9589519,21,46,3137,4,25
689123605,76.58322239,0.900537089,95.97916667,0.942049114,11,943.3825494,989.4483175,24,52,4652,4,28
657879305,72.01924982,0.873517522,47.53571429,1,5,186.218009,221.6395022,14,32,1406,4,18
689594739,76.95165342,0.88223392,55.875,0.964472632,10,334.8027763,367.7267115,24,53,2795,5,29
491120305,68.45990905,0.889766585,28.26315789,1.085193796,6,107.8975331,128.5174075,29,65,1729,7,36
702516390,62.20734224,0.901603246,71.29927007,0.938015346,14,500.5053088,577.6925748,69,144,9796,6,75
491771446,74.58754105,0.914961182,42.68539326,0.893874032,9,497.6486235,521.3530244,45,101,3959,11,56
572836836,70.22654207,0.899668797,74.11764706,0.945157505,14,540.6209634,636.6392023,68,144,10255,8,76
603515571,79.97040586,0.916528505,70.24615385,0.967693666,7,444.9765753,480.1891911,33,71,4632,5,38
595952514,68.74007573,0.886851224,78.078125,1.00103548,14,1368.981813,1493.373123,32,71,5143,7,39
644564684,79.42426958,0.873994462,69.82608696,1,5,330.2109948,374.0206229,23,50,3259,4,27
491770168,73.40215422,0.889292411,39.51851852,0.903473114,7,363.1766507,385.2444809,27,60,2187,6,33
645075400,77.79538129,0.847958944,48.27777778,0.997688558,4,201.9270557,236.4307332,27,61,2676,7,34
691757016,67.08107179,0.935039163,94.91666667,0.993376773,3,276.5375558,293.1278648,6,15,1178,3,9
679909255,87.30837483,0.79147809,106.4666667,0.945286674,10,551.041997,643.4688052,15,33,3438,3,18
759904803,62.16311815,0.930363535,59.48648649,0.858529233,5,247.7377915,254.9988212,19,43,2268,5,24
609847136,77.47414896,0.86451197,34.98809524,1,9,239.597951,275.0381984,42,93,3054,9,51
718251763,72.92909912,0.911064249,94.3125,0.948673119,11,850.9679612,944.40026,72,151,13797,7,79
