id,average_diameter,overall_depth,overall_height,overall_width,soma_surface,total_length,total_surface,total_volume
397905347,0.316090869,117.5429,585.6023221,287.1226276,268.7776786,3498.090031,3523.606841,306.2909311
491119234,0.331268224,81.9012,461.2805153,275.14612,551.7886454,2008.302439,2097.68855,188.4314352
491119269,0.139015308,57.5697,324.4223472,280.8512293,50.09210924,1774.258366,776.0764272,25.73299961
491119394,0.230412152,76.0357,368.2982674,251.3775669,244.457685,1650.188964,1198.531518,75.82308049
491119419,0.321162579,98.8344,417.89062,193.5905625,252.4236723,2066.369729,2085.789861,180.4464137
491119484,0.143875162,75.88,256.2625872,233.5449883,81.68893564,2163.100262,979.3301159,35.71391866
491119500,0.384290423,82.1993,589.2711294,293.4623259,713.7427551,4245.156156,5137.655246,526.7584712
491119548,0.20155039,155.7108,636.7557498,353.7841968,163.2611024,5489.517535,3475.435238,183.4104992
491119570,0.539683118,112.1462,504.6403573,358.9942325,514.5008531,3538.87678,6041.095769,945.0930801
491119581,0.317323133,53.3378,185.8683442,107.6944116,332.2671958,1491.029642,1490.434119,122.3942639
491119592,0.427836241,112.4508,620.4868623,309.1797344,515.4436856,4006.931871,5379.497395,642.6588484
491119604,0.297147107,55.1385,306.4074924,291.1293716,495.5544176,1538.964859,1439.294359,123.1698477
491119617,0.373084809,38.92,249.4181085,223.0200038,200.3358919,1270.185565,1498.379556,151.250657
491119699,0.442728574,93.0224,434.7399065,266.6974176,505.9263353,3127.086918,4362.474335,523.9319809
491119721,0.044819878,81.6116,307.3422585,389.3884373,6.533209387,1730.029465,244.1958723,2.470123364
491119743,0.345091865,51.4886,140.5068287,136.2675216,435.7402696,1666.082926,1803.875644,167.3430856
491119788,0.313582391,103.7473,329.8158709,323.3467198,471.3834091,2214.301942,2182.21472,184.6398866
491119960,0.205062291,94.0014,267.2954645,174.4111965,159.2861198,1782.528929,1148.41729,62.07485422
491119982,0.317247413,97.16,389.6369802,392.6819196,529.4655831,2721.430719,2712.663448,232.6209818
491120029,0.322776682,71.3384,329.3612549,231.8419794,368.9269851,1657.693133,1676.838651,150.0119697
491120133,0.267391703,91.3063,433.3253701,346.494228,239.0860911,2251.642796,1889.341663,143.1572049
491120305,0.259648659,44.52,170.6586373,140.6123668,358.7551591,1825.646321,1499.858295,108.1146037
491120333,0.14929187,39.2392,192.8239745,138.3498622,63.72731662,1392.382539,652.3248292,22.32553021
491120359,0.363592344,81.1168,627.54652,202.6434581,317.7124918,2194.762205,2519.812968,248.0432687
491253825,0.216744323,60.5338,344.5675978,239.1476408,112.1869969,1793.14176,1224.883715,75.21157523
491253836,0.41503213,69.7356,420.6558346,259.355807,348.1211576,2189.542864,2862.129234,349.0024288
491253858,0.378397992,74.9719,461.2848954,299.0688549,273.594897,2927.044212,3504.163392,386.6919875
491253869,0.355791825,35.4288,474.6235438,171.9925323,224.939886,2251.00166,2520.8872,280.8597962
